d,b,f,e,7,14,c2
b,b,c,e,6,13,c2
b,b,c,e,2,13,c2
a,b,a,b,5,13,c1
c,a,f,d,2,14,c2
d,b,f,e,5.39,14,c2
a,a,c,e,1,14,c2
b,a,f,e,5.39,12,c1
c,b,a,c,5,14,c1
b,b,d,e,5,7,c1
d,a,d,c,10,13,c1
d,b,d,d,3,12,c1
d,b,a,e,2,11.49,c1
a,a,d,d,2,18,c1
b,a,f,e,2,14,c2
c,a,c,e,2,13,c2
a,a,c,e,10,14,c2
a,a,f,d,4,12,c2
b,a,c,e,6,11.49,c2
a,a,d,e,10,15,c1
b,b,f,d,5,13,c2
c,b,c,d,1,11.49,c2
b,a,f,e,5.39,13,c2
b,b,f,e,1,12,c2
d,b,f,e,8,13,c2
d,b,a,a,2,5,c1
d,b,d,e,2,5,c1
a,a,a,b,9,11.49,c1
a,a,d,a,10,2,c1
c,b,f,e,1,12,c2
d,b,f,e,5.39,13,c2
b,b,a,c,5.39,20,c1
d,a,d,e,6,15,c1
a,b,a,e,7,18,c1
d,a,d,d,1,20,c1
d,a,f,d,5.39,11,c2
a,a,f,d,4,13,c2
a,a,f,a,5.39,6,c1
d,a,f,e,3,14,c2
a,b,f,e,4,11.49,c2
b,a,a,e,4,14,c1
a,b,d,b,2,20,c1
d,a,f,e,2,11.49,c2
c,b,f,e,3,13,c2
b,a,c,e,10,11,c2
b,a,a,e,10,8,c1
d,b,a,e,2,9,c1
b,a,a,e,4,11.49,c1
a,a,f,a,4,18,c1
d,b,f,e,3,14,c1
d,a,d,b,7,18,c1
d,a,a,e,1,11.49,c1
c,b,f,e,2,13,c2
c,b,a,e,3,11,c1
d,a,a,c,5,19,c1
b,a,a,c,4,16,c1
c,b,f,e,7,13,c2
c,b,a,e,5.39,5,c1
d,a,c,e,1,12,c2
b,a,d,b,5,6,c1
b,b,a,d,2,15,c1
d,a,f,d,5.39,14,c2
d,b,d,b,6,11.49,c1
b,a,f,e,9,14,c2
c,b,d,d,9,11.49,c1
a,b,d,e,9,4,c1
a,b,d,a,10,11,c1
b,b,f,d,5.39,11,c2
b,a,c,d,2,12,c2
b,a,c,e,4,12,c2
